name,brand,price,Processor Brand,Processor Name,Processor Generation,processor clock speed,Number of Cores,SSD,drive capacity,RAM,Dedicated Graphic Memory Capacity,screen size,Screen Resolution,weight,speakers,touchscreen,microphone,webcam
"ASUS Zenbook 14X (2022) Space edition Intel EVO Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) UX5401ZAS-KN711WS Thin and Light Laptop  (14 inch, Titanium, 1.40 kg, With MS Office)",ASUS,134990,Intel,Core i7,12th Gen,2.3,12.0,true,1000.0,16,,14,5184000.0,1.40,True,True,True,True
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM502WS Thin and Light Laptop  (14 Inch, Indie Black, 1.50 Kg, With MS Office)",ASUS,74990,Intel,Core i5,12th Gen,4.5,8.0,true,512.0,16,,14,5184000.0,1.50,True,True,True,True
"ASUS Zenbook 14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-KM731WS Thin and Light Laptop  (14 inch, Ponder Blue, 1.39 kg, With MS Office)",ASUS,104990,Intel,Core i7,12th Gen,2.1,12.0,true,512.0,16,,14,5184000.0,1.39,True,True,True,True
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM701WS Thin and Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With MS Office)",ASUS,94990,Intel,Core i7,12th Gen,4.7,8.0,true,512.0,16,,14,5184000.0,1.50,True,True,True,True
"ASUS Zenbook 14X (2022) Space edition Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX5401ZAS-KN521WS Thin and Light Laptop  (14 inch, Titanium, 1.40 kg, With MS Office)",ASUS,114990,Intel,Core i5,12th Gen,2.5,12.0,true,512.0,16,,14,5184000.0,1.40,True,True,True,True
"DELL Vostro 3405 Ryzen 5 Quad Core 3450U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3405 Thin and Light Laptop  (14 inch, Dune, 1.59 kg, With MS Office)",DELL,42990,AMD,Ryzen 5 Quad Core,,2.1,4.0,true,256.0,8,,14,2073600.0,1.59,True,True,True,True
"ASUS Ryzen 7 Hexa Core 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 rts) FA506IC-HN005T Gaming Laptop  (15.6 inch, Graphite Black)",ASUS,80500,AMD,Ryzen 7 Hexa Core,10th Gen,,,true,512.0,8,4 GB,15.6,2073600.0,,False,True,False,False
"ASUS Ryzen 9 Octa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX RTX3060-6GB) FA506QM-HN124W Gaming Laptop  (16.6 inch, Graphite Black)",ASUS,106990,AMD,Ryzen 9 Octa Core,10th Gen,,,true,512.0,16,6 GB,16.6,2073600.0,,False,True,False,False
"ASUS Core i5 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515JA-BQ511WS Thin and Light Laptop  (15.6 inch, Transparent Silver, With MS Office)",ASUS,43430,Intel,Core i5,10th Gen,,,true,256.0,8,,15.6,2073600.0,,False,True,False,False
"ASUS Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L501TS Laptop  (15.6 inch, Hearty Gold, With MS Office)",ASUS,65990,Intel,Core i5,11th Gen,,,true,256.0,8,,15.6,777600.0,,False,True,False,False
