brand,price,processor brand,processor number,processor year,processor clock speed,processor core count,SSD,drive capacity,RAM,GPU memory,screen size,pixel count,weight,speakers,touchscreen,microphone,webcam
Lenovo,99990,Intel,7,2020.0,2.8,4.0,True,512.0,16,,14,2073600.0,,True,True,True,True
DELL,46790,AMD,5,,2.1,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
DELL,40990,Intel,3,2019.0,1.2,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
HP,42990,Intel,3,2020.0,3.7,4.0,True,512.0,8,,14,2073600.0,1.46,True,True,True,True
DELL,40990,AMD,3,,2.6,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
DELL,40990,Intel,3,2019.0,1.2,,True,256.0,8,,15.6,2073600.0,1.8,True,True,True,True
HP,155490,Intel,7,2021.0,4.7,14.0,True,1024.0,16,6.0,16.1,2073600.0,2.32,True,True,True,True
ASUS,38990,Intel,3,2019.0,,,True,256.0,4,,14,1049088.0,,False,True,False,False
HP,104490,AMD,7,,4.4,8.0,True,512.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
HP,125500,AMD,7,,3.2,8.0,True,1024.0,16,,16.1,2073600.0,2.32,True,True,True,True
HP,40699,Intel,3,2020.0,,,False,1024.0,8,,15.6,1049088.0,,False,True,False,False
HP,37990,AMD,3,,,,False,1024.0,8,,15.6,1049088.0,,False,True,False,False
ASUS,83990,AMD,7,,4.2,8.0,True,512.0,8,4.0,15.6,2073600.0,2.10,True,True,True,False
ASUS,61986,Intel,5,2019.0,4.5,4.0,True,512.0,8,4.0,15.6,2073600.0,2.30,True,True,True,True
HP,43199,Intel,3,2020.0,,,True,512.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,114990,AMD,7,,4.4,8.0,True,1024.0,16,4.0,14,3686400.0,1.60,True,True,True,False
ASUS,133990,AMD,7,,4.7,8.0,True,1024.0,16,6.0,17.3,2073600.0,2.60,True,True,True,True
HP,32990,Intel,1,,1.10,2.0,True,256.0,8,,14,1049088.0,1.46,True,True,True,True
Lenovo,79998,AMD,7,,1.8,8.0,True,512.0,16,,13.3,2073600.0,1.32,True,True,True,True
ASUS,54100,Intel,1,2019.0,,,False,128.0,4,,13.3,2073600.0,,False,True,False,False
ASUS,95990,Intel,7,2020.0,,,True,512.0,16,4.0,17.3,2073600.0,,False,True,False,False
HP,89251,Intel,5,2020.0,,,True,512.0,8,,15.6,1049088.0,,False,True,False,False
MSI,259990,Intel,7,2021.0,3.0,,True,1024.0,16,8.0,15.6,3686400.0,2.38,True,True,True,True
MSI,179990,Intel,7,2021.0,3.0,,True,1024.0,16,8.0,15.6,3686400.0,2.47,True,True,True,True
acer,144990,Intel,9,2020.0,5.20,8.0,True,1024.0,16,6.0,15.6,2073600.0,2.3,True,True,True,True
Lenovo,47499,Intel,5,2019.0,,,False,1024.0,4,,14,1049088.0,,False,True,False,False
HP,118990,Intel,7,2020.0,4.6,8.0,True,1024.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
HP,116990,Intel,7,2020.0,4.6,8.0,True,1024.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
ASUS,29940,Intel,1,,1.1,4.0,False,1024.0,4,,15.6,1049088.0,1.8,True,True,True,True
MSI,86990,Intel,7,2020.0,2.3,8.0,True,512.0,8,4.0,15.6,2073600.0,2.25,True,True,True,True
HP,52380,AMD,5,,,,True,512.0,8,,15.6,2073600.0,,False,True,False,False
HP,53499,Intel,3,2019.0,,,True,512.0,8,,14,2073600.0,,False,True,False,False
ASUS,48990,Intel,3,2020.0,3.0,2.0,True,256.0,8,,15.6,2073600.0,1.8,True,True,True,True
ASUS,26800,Intel,1,,1.1,2.0,False,,4,,11.6,1049088.0,1.05,True,True,True,True
ASUS,46800,Intel,3,2020.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,61990,AMD,5,,4.0,6.0,True,512.0,16,,15.6,2073600.0,1.80,True,True,True,True
ASUS,61990,AMD,5,,2.1,6.0,True,512.0,16,,15.6,2073600.0,1.80,True,True,True,True
ASUS,21990,Intel,1,,2.8,2.0,False,,4,,11.6,1049088.0,1.05,False,True,True,True
ASUS,31990,Intel,3,2019.0,1.2,2.0,False,1024.0,8,,15.6,2073600.0,1.80,True,True,True,True
